Title,Link,Topics,Messages
זן והעיר הגדולה,/forums/%D7%96%D7%9F-%D7%95%D7%94%D7%A2%D7%99%D7%A8-%D7%94%D7%92%D7%93%D7%95%D7%9C%D7%94.112/,1000.0,3800.0
שיחות עם אלוהים,/forums/%D7%A9%D7%99%D7%97%D7%95%D7%AA-%D7%A2%D7%9D-%D7%90%D7%9C%D7%95%D7%94%D7%99%D7%9D.113/,2300.0,12600.0
ארבע ההסכמות,/forums/%D7%90%D7%A8%D7%91%D7%A2-%D7%94%D7%94%D7%A1%D7%9B%D7%9E%D7%95%D7%AA.114/,1500.0,9900.0
שלמות פנימית,/forums/%D7%A9%D7%9C%D7%9E%D7%95%D7%AA-%D7%A4%D7%A0%D7%99%D7%9E%D7%99%D7%AA.115/,2700.0,16900.0
ביקורת המקרא,/forums/%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA-%D7%94%D7%9E%D7%A7%D7%A8%D7%90.116/,229.0,1100.0
רייקי לצעירים,/forums/%D7%A8%D7%99%D7%99%D7%A7%D7%99-%D7%9C%D7%A6%D7%A2%D7%99%D7%A8%D7%99%D7%9D.117/,627.0,2800.0
העצמה אישית,/forums/%D7%94%D7%A2%D7%A6%D7%9E%D7%94-%D7%90%D7%99%D7%A9%D7%99%D7%AA.118/,474.0,7700.0
השנה שלי -תוכנית לשינוי,/forums/%D7%94%D7%A9%D7%A0%D7%94-%D7%A9%D7%9C%D7%99-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%AA-%D7%9C%D7%A9%D7%99%D7%A0%D7%95%D7%99.119/,3200.0,30000.0
אבחון וייעוץ,/categories/%D7%90%D7%91%D7%97%D7%95%D7%9F-%D7%95%D7%99%D7%99%D7%A2%D7%95%D7%A5.120/,123700.0,675900.0
רוחניות והעידן החדש,/categories/%D7%A8%D7%95%D7%97%D7%A0%D7%99%D7%95%D7%AA-%D7%95%D7%94%D7%A2%D7%99%D7%93%D7%9F-%D7%94%D7%97%D7%93%D7%A9.140/,88700.0,758400.0
העצמה אישית,/categories/%D7%94%D7%A2%D7%A6%D7%9E%D7%94-%D7%90%D7%99%D7%A9%D7%99%D7%AA.162/,36300.0,340600.0
תזונה,/categories/%D7%AA%D7%96%D7%95%D7%A0%D7%94.171/,120700.0,1100000.0
תמיכה,/categories/%D7%AA%D7%9E%D7%99%D7%9B%D7%94.181/,93600.0,538500.0
מומחים,/categories/%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D.203/,55500.0,283200.0
"המרכז הרפואי ת""א – רפואה כללית",/categories/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%AA-%D7%90-%E2%80%93-%D7%A8%D7%A4%D7%95%D7%90%D7%94-%D7%9B%D7%9C%D7%9C%D7%99%D7%AA.222/,85100.0,181800.0
"המרכז הרפואי ת""א – רפואת ילדים",/categories/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%AA-%D7%90-%E2%80%93-%D7%A8%D7%A4%D7%95%D7%90%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D.257/,22400.0,49300.0
"המרכז הרפואי ת""א – רפואת נשים",/categories/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%AA-%D7%90-%E2%80%93-%D7%A8%D7%A4%D7%95%D7%90%D7%AA-%D7%A0%D7%A9%D7%99%D7%9D.266/,40800.0,88700.0
מקצועות הרפואה י-ם,/forums/%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%95%D7%AA-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%94-%D7%99-%D7%9D.274/,3100.0,13200.0
למידה מרחוק,/forums/%D7%9C%D7%9E%D7%99%D7%93%D7%94-%D7%9E%D7%A8%D7%97%D7%95%D7%A7.275/,303.0,789.0
אתרים בית ספריים,/forums/%D7%90%D7%AA%D7%A8%D7%99%D7%9D-%D7%91%D7%99%D7%AA-%D7%A1%D7%A4%D7%A8%D7%99%D7%99%D7%9D.276/,881.0,5900.0
מדעי המדינה-סטודנטים,/forums/%D7%9E%D7%93%D7%A2%D7%99-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%A1%D7%98%D7%95%D7%93%D7%A0%D7%98%D7%99%D7%9D.277/,2000.0,5600.0
מפתחים צעירים,/forums/%D7%9E%D7%A4%D7%AA%D7%97%D7%99%D7%9D-%D7%A6%D7%A2%D7%99%D7%A8%D7%99%D7%9D.278/,121.0,360.0
עירוני ג חיפה,/forums/%D7%A2%D7%99%D7%A8%D7%95%D7%A0%D7%99-%D7%92-%D7%97%D7%99%D7%A4%D7%94.279/,3200.0,14600.0
המכללה האקדמית למשפטים,/forums/%D7%94%D7%9E%D7%9B%D7%9C%D7%9C%D7%94-%D7%94%D7%90%D7%A7%D7%93%D7%9E%D7%99%D7%AA-%D7%9C%D7%9E%D7%A9%D7%A4%D7%98%D7%99%D7%9D.280/,2900.0,8200.0
סלולארי חברתי,/forums/%D7%A1%D7%9C%D7%95%D7%9C%D7%90%D7%A8%D7%99-%D7%97%D7%91%D7%A8%D7%AA%D7%99.281/,217.0,2400.0
בר אילן - לימודי מידע,/forums/%D7%91%D7%A8-%D7%90%D7%99%D7%9C%D7%9F-%D7%9C%D7%99%D7%9E%D7%95%D7%93%D7%99-%D7%9E%D7%99%D7%93%D7%A2.282/,2600.0,8700.0
מחוננים,/forums/%D7%9E%D7%97%D7%95%D7%A0%D7%A0%D7%99%D7%9D.283/,1400.0,10400.0
מסלול אקדמי מכללה למנהל,/forums/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C-%D7%90%D7%A7%D7%93%D7%9E%D7%99-%D7%9E%D7%9B%D7%9C%D7%9C%D7%94-%D7%9C%D7%9E%D7%A0%D7%94%D7%9C.284/,53.0,369.0
זכויות הורים ותלמידים,/forums/%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%94%D7%95%D7%A8%D7%99%D7%9D-%D7%95%D7%AA%D7%9C%D7%9E%D7%99%D7%93%D7%99%D7%9D.285/,902.0,2900.0
הסגל האקדמי הזוטר באת`א,/forums/%D7%94%D7%A1%D7%92%D7%9C-%D7%94%D7%90%D7%A7%D7%93%D7%9E%D7%99-%D7%94%D7%96%D7%95%D7%98%D7%A8-%D7%91%D7%90%D7%AA-%D7%90.286/,80.0,158.0
פרויקט לגדול בצבע,/forums/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-%D7%9C%D7%92%D7%93%D7%95%D7%9C-%D7%91%D7%A6%D7%91%D7%A2.287/,107.0,325.0
שפות עתיקות,/forums/%D7%A9%D7%A4%D7%95%D7%AA-%D7%A2%D7%AA%D7%99%D7%A7%D7%95%D7%AA.288/,385.0,2500.0
הנדסאים,/forums/%D7%94%D7%A0%D7%93%D7%A1%D7%90%D7%99%D7%9D.289/,392.0,1200.0
תורה שבעל פה,/forums/%D7%AA%D7%95%D7%A8%D7%94-%D7%A9%D7%91%D7%A2%D7%9C-%D7%A4%D7%94.290/,820.0,4300.0
חינוך,/categories/%D7%97%D7%99%D7%A0%D7%95%D7%9A.291/,58200.0,302100.0
מדע,/categories/%D7%9E%D7%93%D7%A2.297/,13800.0,130800.00000000001
יעוץ וסיוע,/categories/%D7%99%D7%A2%D7%95%D7%A5-%D7%95%D7%A1%D7%99%D7%95%D7%A2.302/,46700.0,457600.0
השכלה גבוהה ומוסדות לימוד,/categories/%D7%94%D7%A9%D7%9B%D7%9C%D7%94-%D7%92%D7%91%D7%95%D7%94%D7%94-%D7%95%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA-%D7%9C%D7%99%D7%9E%D7%95%D7%93.306/,165800.0,1200000.0
מקצועות לימוד,/categories/%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%95%D7%AA-%D7%9C%D7%99%D7%9E%D7%95%D7%93.323/,117900.0,873300.0
אמנות,/categories/%D7%90%D7%9E%D7%A0%D7%95%D7%AA.342/,262300.0,2000000.0
תרבויות ושפות,/categories/%D7%AA%D7%A8%D7%91%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%A9%D7%A4%D7%95%D7%AA.360/,162900.0,1300000.0
ריקודים,/categories/%D7%A8%D7%99%D7%A7%D7%95%D7%93%D7%99%D7%9D.392/,28000.0,261500.0
ספרות ושירה,/categories/%D7%A1%D7%A4%D7%A8%D7%95%D7%AA-%D7%95%D7%A9%D7%99%D7%A8%D7%94.396/,158600.0,1300000.0
מינהל עסקים והבראתם,/forums/%D7%9E%D7%99%D7%A0%D7%94%D7%9C-%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%95%D7%94%D7%91%D7%A8%D7%90%D7%AA%D7%9D.411/,545.0,1300.0
כלכלה וחברה,/forums/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94-%D7%95%D7%97%D7%91%D7%A8%D7%94.412/,765.0,6700.0
יחסי ציבור,/forums/%D7%99%D7%97%D7%A1%D7%99-%D7%A6%D7%99%D7%91%D7%95%D7%A8.413/,4800.0,16500.0
מנהלות בהיי-טק,/forums/%D7%9E%D7%A0%D7%94%D7%9C%D7%95%D7%AA-%D7%91%D7%94%D7%99%D7%99-%D7%98%D7%A7.414/,312.0,371.0
משאבי אנוש והדרכה,/forums/%D7%9E%D7%A9%D7%90%D7%91%D7%99-%D7%90%D7%A0%D7%95%D7%A9-%D7%95%D7%94%D7%93%D7%A8%D7%9B%D7%94.415/,1700.0,4300.0
יחסים בעבודה,/forums/%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%95%D7%93%D7%94.416/,1600.0,5900.0
מתוסכלים בעבודה,/forums/%D7%9E%D7%AA%D7%95%D7%A1%D7%9B%D7%9C%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%95%D7%93%D7%94.417/,29.0,53.0
מיתוג,/forums/%D7%9E%D7%99%D7%AA%D7%95%D7%92.418/,74.0,279.0
מנהלים ובוסים בעבודה,/forums/%D7%9E%D7%A0%D7%94%D7%9C%D7%99%D7%9D-%D7%95%D7%91%D7%95%D7%A1%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%95%D7%93%D7%94.419/,106.0,169.0
מקצועות,/categories/%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%95%D7%AA.420/,67100.0,455900.0
"נדל""ן",/categories/%D7%A0%D7%93%D7%9C-%D7%9F.426/,134.0,417.0
ניהול עסק,/categories/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%A2%D7%A1%D7%A7.428/,33000.0,166500.0
קריירה,/categories/%D7%A7%D7%A8%D7%99%D7%99%D7%A8%D7%94.431/,32000.0,112000.0
נשים בספורט,/forums/%D7%A0%D7%A9%D7%99%D7%9D-%D7%91%D7%A1%D7%A4%D7%95%D7%A8%D7%98.436/,8800.0,132900.0
קבוצות ואוהדים,/categories/%D7%A7%D7%91%D7%95%D7%A6%D7%95%D7%AA-%D7%95%D7%90%D7%95%D7%94%D7%93%D7%99%D7%9D.437/,260300.0,1600000.0
מוטוריקה,/categories/%D7%9E%D7%95%D7%98%D7%95%D7%A8%D7%99%D7%A7%D7%94.449/,255600.0,2500000.0
ספורט אתגרי,/categories/%D7%A1%D7%A4%D7%95%D7%A8%D7%98-%D7%90%D7%AA%D7%92%D7%A8%D7%99.466/,110800.0,848800.0
אופניים,/categories/%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D.480/,166800.0,1100000.0
כושר ואימון,/categories/%D7%9B%D7%95%D7%A9%D7%A8-%D7%95%D7%90%D7%99%D7%9E%D7%95%D7%9F.488/,64599.99999999999,430000.0
ענפי ספורט,/categories/%D7%A2%D7%A0%D7%A4%D7%99-%D7%A1%D7%A4%D7%95%D7%A8%D7%98.495/,286900.0,2300000.0
אמנויות לחימה,/categories/%D7%90%D7%9E%D7%A0%D7%95%D7%99%D7%95%D7%AA-%D7%9C%D7%97%D7%99%D7%9E%D7%94.514/,42400.0,513100.0
כדורסל,/categories/%D7%9B%D7%93%D7%95%D7%A8%D7%A1%D7%9C.520/,30800.0,411000.0
כדורגל,/categories/%D7%9B%D7%93%D7%95%D7%A8%D7%92%D7%9C.523/,53300.0,515900.0
התמכרויות,/forums/%D7%94%D7%AA%D7%9E%D7%9B%D7%A8%D7%95%D7%99%D7%95%D7%AA.527/,2800.0,14400.0
בריאות נפש-שיקום והחלמה,/forums/%D7%91%D7%A8%D7%99%D7%90%D7%95%D7%AA-%D7%A0%D7%A4%D7%A9-%D7%A9%D7%99%D7%A7%D7%95%D7%9D-%D7%95%D7%94%D7%97%D7%9C%D7%9E%D7%94.528/,947.0,4000.0
פורום gov.il,/forums/%D7%A4%D7%95%D7%A8%D7%95%D7%9D-gov-il.529/,863.0,1800.0
"עזרה נפשית ברשת- סה""ר",/categories/%D7%A2%D7%96%D7%A8%D7%94-%D7%A0%D7%A4%D7%A9%D7%99%D7%AA-%D7%91%D7%A8%D7%A9%D7%AA-%D7%A1%D7%94-%D7%A8.532/,32500.0,222200.0
