Title,Link,Topics,Messages,usersActiveGrade,activityLevel
המומלצים,/forums/%D7%94%D7%9E%D7%95%D7%9E%D7%9C%D7%A6%D7%99%D7%9D.2693/,525.0,525.0,1.0,little activity
פורום הסלבס של לירון הכתב,/forums/%D7%A4%D7%95%D7%A8%D7%95%D7%9D-%D7%94%D7%A1%D7%9C%D7%91%D7%A1-%D7%A9%D7%9C-%D7%9C%D7%99%D7%A8%D7%95%D7%9F-%D7%94%D7%9B%D7%AA%D7%91.2682/,158.0,178.0,1.1265822784810127,little activity
אגם רודברג,/forums/%D7%90%D7%92%D7%9D-%D7%A8%D7%95%D7%93%D7%91%D7%A8%D7%92.925/,3200.0,87000.0,27.1875,very active
בר רפאלי,/forums/%D7%91%D7%A8-%D7%A8%D7%A4%D7%90%D7%9C%D7%99.1380/,1600.0,10100.0,6.3125,little activity
אלירז שדה,/forums/%D7%90%D7%9C%D7%99%D7%A8%D7%96-%D7%A9%D7%93%D7%94.927/,2000.0,15500.0,7.75,little activity
אלדד גל-עד,/forums/%D7%90%D7%9C%D7%93%D7%93-%D7%92%D7%9C-%D7%A2%D7%93.928/,963.0,4600.0,4.7767393561786085,little activity
קולנוע,/categories/%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2.929/,47300.0,385600.0,8.152219873150106,little activity
רדיו,/categories/%D7%A8%D7%93%D7%99%D7%95.936/,40300.0,324500.0,8.05210918114144,little activity
טלוויזיה,/categories/%D7%98%D7%9C%D7%95%D7%95%D7%99%D7%96%D7%99%D7%94.940/,176200.0,3400000.0,19.296254256526673,active
ריאליטי ישראלי,/categories/%D7%A8%D7%99%D7%90%D7%9C%D7%99%D7%98%D7%99-%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99.972/,145100.0,4800000.0,33.08063404548587,very active
תוכניות yes,/categories/%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%95%D7%AA-yes.989/,62200.0,887100.0,14.262057877813504,medium activity
תוכניות hot,/categories/%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%95%D7%AA-hot.1021/,4300.0,26900.0,6.255813953488372,little activity
בורסה ושוק ההון,/forums/%D7%91%D7%95%D7%A8%D7%A1%D7%94-%D7%95%D7%A9%D7%95%D7%A7-%D7%94%D7%94%D7%95%D7%9F.1722/,84900.0,506200.0,5.962308598351001,little activity
מסחר והשקעות בוול-סטריט,/forums/%D7%9E%D7%A1%D7%97%D7%A8-%D7%95%D7%94%D7%A9%D7%A7%D7%A2%D7%95%D7%AA-%D7%91%D7%95%D7%95%D7%9C-%D7%A1%D7%98%D7%A8%D7%99%D7%98.1723/,6400.0,33200.0,5.1875,little activity
"מניות ואופציות מעו""ף",/forums/%D7%9E%D7%A0%D7%99%D7%95%D7%AA-%D7%95%D7%90%D7%95%D7%A4%D7%A6%D7%99%D7%95%D7%AA-%D7%9E%D7%A2%D7%95-%D7%A3.1724/,77400.0,584800.0,7.555555555555555,little activity
"מסחר במט""ח - Forex",/forums/%D7%9E%D7%A1%D7%97%D7%A8-%D7%91%D7%9E%D7%98-%D7%97-forex.1725/,8300.0,27000.0,3.253012048192771,little activity
לימודי שוק ההון,/forums/%D7%9C%D7%99%D7%9E%D7%95%D7%93%D7%99-%D7%A9%D7%95%D7%A7-%D7%94%D7%94%D7%95%D7%9F.1726/,2000.0,4700.0,2.35,little activity
"הזדמנות ישראלית יה""ש",/forums/%D7%94%D7%96%D7%93%D7%9E%D7%A0%D7%95%D7%AA-%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%AA-%D7%99%D7%94-%D7%A9.1727/,6400.0,33500.0,5.234375,little activity
גבעות עולם,/forums/%D7%92%D7%91%D7%A2%D7%95%D7%AA-%D7%A2%D7%95%D7%9C%D7%9D.1728/,2400.0,9100.0,3.7916666666666665,little activity
ישראמקו,/forums/%D7%99%D7%A9%D7%A8%D7%90%D7%9E%D7%A7%D7%95.1729/,2300.0,5200.0,2.260869565217391,little activity
"הילה והבאגים בע""מ",/forums/%D7%94%D7%99%D7%9C%D7%94-%D7%95%D7%94%D7%91%D7%90%D7%92%D7%99%D7%9D-%D7%91%D7%A2-%D7%9E.1286/,601.0,1500.0,2.4958402662229617,little activity
טיולי קרוואנים,/forums/%D7%98%D7%99%D7%95%D7%9C%D7%99-%D7%A7%D7%A8%D7%95%D7%95%D7%90%D7%A0%D7%99%D7%9D.1290/,1.0,1.0,1.0,little activity
ביטוחי דירות רכבים,/forums/%D7%91%D7%99%D7%98%D7%95%D7%97%D7%99-%D7%93%D7%99%D7%A8%D7%95%D7%AA-%D7%A8%D7%9B%D7%91%D7%99%D7%9D.1291/,1.0,1.0,1.0,little activity
סיורים מאורגנים בישראל,/forums/%D7%A1%D7%99%D7%95%D7%A8%D7%99%D7%9D-%D7%9E%D7%90%D7%95%D7%A8%D7%92%D7%A0%D7%99%D7%9D-%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C.1292/,1.0,1.0,1.0,little activity
אוכל,/categories/%D7%90%D7%95%D7%9B%D7%9C.1293/,286800.0,2200000.0,7.670850767085077,little activity
משקאות,/categories/%D7%9E%D7%A9%D7%A7%D7%90%D7%95%D7%AA.1308/,25600.0,145600.0,5.6875,little activity
אומנות באוכל,/categories/%D7%90%D7%95%D7%9E%D7%A0%D7%95%D7%AA-%D7%91%D7%90%D7%95%D7%9B%D7%9C.1312/,25200.0,267500.0,10.615079365079366,medium activity
חורזים וכותבים,/forums/%D7%97%D7%95%D7%A8%D7%96%D7%99%D7%9D-%D7%95%D7%9B%D7%95%D7%AA%D7%91%D7%99%D7%9D.1771/,13000.0,165100.0,12.7,medium activity
משפחות חד הוריות,/forums/%D7%9E%D7%A9%D7%A4%D7%97%D7%95%D7%AA-%D7%97%D7%93-%D7%94%D7%95%D7%A8%D7%99%D7%95%D7%AA.21/,5100.0,30600.0,6.0,little activity
זוגיות,/categories/%D7%96%D7%95%D7%92%D7%99%D7%95%D7%AA.22/,255200.0,3800000.0,14.890282131661442,medium activity
פוריות,/categories/%D7%A4%D7%95%D7%A8%D7%99%D7%95%D7%AA.33/,113500.0,1000000.0,8.810572687224669,little activity
הורות,/categories/%D7%94%D7%95%D7%A8%D7%95%D7%AA.39/,480400.0,6600000.0,13.738551207327227,medium activity
תמיכה,/categories/%D7%AA%D7%9E%D7%99%D7%9B%D7%94.67/,78700.0,573500.0,7.287166454891995,little activity
ייעוץ מומחים,/categories/%D7%99%D7%99%D7%A2%D7%95%D7%A5-%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D.82/,2600.0,5700.0,2.1923076923076925,little activity
הריון ולידה,/categories/%D7%94%D7%A8%D7%99%D7%95%D7%9F-%D7%95%D7%9C%D7%99%D7%93%D7%94.87/,257000.0,3100000.0,12.062256809338521,medium activity
תא משפחתי,/categories/%D7%AA%D7%90-%D7%9E%D7%A9%D7%A4%D7%97%D7%AA%D7%99.94/,72700.0,777800.0,10.698762035763412,medium activity
הנקה,/categories/%D7%94%D7%A0%D7%A7%D7%94.106/,39600.0,574900.0,14.517676767676768,medium activity
פורום עסקים ואשרות באמירויות,/forums/%D7%A4%D7%95%D7%A8%D7%95%D7%9D-%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%95%D7%90%D7%A9%D7%A8%D7%95%D7%AA-%D7%91%D7%90%D7%9E%D7%99%D7%A8%D7%95%D7%99%D7%95%D7%AA.2691/,51.0,67.0,1.3137254901960784,little activity
חוק ומשפט,/forums/%D7%97%D7%95%D7%A7-%D7%95%D7%9E%D7%A9%D7%A4%D7%98.1446/,42800.0,211600.0,4.94392523364486,little activity
"ויזה ואזרחות בארה""ב",/forums/%D7%95%D7%99%D7%96%D7%94-%D7%95%D7%90%D7%96%D7%A8%D7%97%D7%95%D7%AA-%D7%91%D7%90%D7%A8%D7%94-%D7%91.1455/,121.0,238.0,1.9669421487603307,little activity
משפט האינטרנט וההיי-טק,/forums/%D7%9E%D7%A9%D7%A4%D7%98-%D7%94%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98-%D7%95%D7%94%D7%94%D7%99%D7%99-%D7%98%D7%A7.1447/,4600.0,18700.0,4.065217391304348,little activity
חשבון מוגבל,/forums/%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%95%D7%92%D7%91%D7%9C.1456/,22.0,31.0,1.4090909090909092,little activity
הוצאה לפועל ופשיטת רגל,/forums/%D7%94%D7%95%D7%A6%D7%90%D7%94-%D7%9C%D7%A4%D7%95%D7%A2%D7%9C-%D7%95%D7%A4%D7%A9%D7%99%D7%98%D7%AA-%D7%A8%D7%92%D7%9C.1448/,5500.0,14400.0,2.618181818181818,little activity
דיני חוזים,/forums/%D7%93%D7%99%D7%A0%D7%99-%D7%97%D7%95%D7%96%D7%99%D7%9D.1449/,8700.0,29300.0,3.367816091954023,little activity
ביטוח לאומי - סיוע,/forums/%D7%91%D7%99%D7%98%D7%95%D7%97-%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%A1%D7%99%D7%95%D7%A2.1450/,25500.0,67900.0,2.6627450980392156,little activity
פשיטת רגל,/forums/%D7%A4%D7%A9%D7%99%D7%98%D7%AA-%D7%A8%D7%92%D7%9C.1451/,1400.0,3400.0,2.4285714285714284,little activity
תביעות קטנות,/forums/%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%A7%D7%98%D7%A0%D7%95%D7%AA.1452/,2300.0,5600.0,2.4347826086956523,little activity
בירוקרטיה,/forums/%D7%91%D7%99%D7%A8%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94.1453/,294.0,441.0,1.5,little activity
קבוצות גיל,/categories/%D7%A7%D7%91%D7%95%D7%A6%D7%95%D7%AA-%D7%92%D7%99%D7%9C.1381/,174900.0,2000000.0,11.435105774728417,medium activity
הכל דיבורים,/categories/%D7%94%D7%9B%D7%9C-%D7%93%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%9D.1388/,351000.0,4400000.0,12.535612535612536,medium activity
אמונה,/categories/%D7%90%D7%9E%D7%95%D7%A0%D7%94.1423/,76900.0,897000.0,11.664499349804942,medium activity
דרך חיים,/categories/%D7%93%D7%A8%D7%9A-%D7%97%D7%99%D7%99%D7%9D.1433/,53200.0,955000.0,17.951127819548873,active
צביעה בהתזה,/forums/%D7%A6%D7%91%D7%99%D7%A2%D7%94-%D7%91%D7%94%D7%AA%D7%96%D7%94.1458/,33.0,56.0,1.696969696969697,little activity
אומנות שימושית,/categories/%D7%90%D7%95%D7%9E%D7%A0%D7%95%D7%AA-%D7%A9%D7%99%D7%9E%D7%95%D7%A9%D7%99%D7%AA.1459/,261900.0,2800000.0,10.69110347460863,medium activity
אחזקה וניהול בית,/categories/%D7%90%D7%97%D7%96%D7%A7%D7%94-%D7%95%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%91%D7%99%D7%AA.1478/,145900.0,935800.0,6.413982179575052,little activity
דרום,/categories/%D7%93%D7%A8%D7%95%D7%9D.1490/,15500.0,90400.0,5.832258064516129,little activity
השרון,/categories/%D7%94%D7%A9%D7%A8%D7%95%D7%9F.1492/,12700.0,85400.0,6.724409448818897,little activity
מרכז,/categories/%D7%9E%D7%A8%D7%9B%D7%96.1497/,25900.0,136500.0,5.27027027027027,little activity
ירושלים והסביבה,/categories/%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D-%D7%95%D7%94%D7%A1%D7%91%D7%99%D7%91%D7%94.1505/,54900.0,321700.0,5.859744990892532,little activity
צפון,/categories/%D7%A6%D7%A4%D7%95%D7%9F.1510/,11800.0,70500.0,5.97457627118644,little activity
ייעוץ פיננסי,/categories/%D7%99%D7%99%D7%A2%D7%95%D7%A5-%D7%A4%D7%99%D7%A0%D7%A0%D7%A1%D7%99.1731/,68400.0,359100.0,5.25,little activity
כלכלה,/categories/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94.1735/,9700.0,35900.0,3.7010309278350517,little activity
המומחים,/categories/%D7%94%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D.1738/,184.0,234.0,1.2717391304347827,little activity
סייבר ואבטחת מידע,/forums/%D7%A1%D7%99%D7%99%D7%91%D7%A8-%D7%95%D7%90%D7%91%D7%98%D7%97%D7%AA-%D7%9E%D7%99%D7%93%D7%A2.2692/,88.0,162.0,1.8409090909090908,little activity
קניות באינטרנט,/categories/%D7%A7%D7%A0%D7%99%D7%95%D7%AA-%D7%91%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98.1746/,8400.0,48500.0,5.773809523809524,little activity
גלישה ברשת,/categories/%D7%92%D7%9C%D7%99%D7%A9%D7%94-%D7%91%D7%A8%D7%A9%D7%AA.1749/,16400.0,95300.0,5.810975609756097,little activity
בניית וקידום אתרים,/categories/%D7%91%D7%A0%D7%99%D7%99%D7%AA-%D7%95%D7%A7%D7%99%D7%93%D7%95%D7%9D-%D7%90%D7%AA%D7%A8%D7%99%D7%9D.1753/,54600.0,295300.0,5.408424908424909,little activity
טבע,/categories/%D7%98%D7%91%D7%A2.1757/,32000.0,258100.00000000003,8.065625,little activity
מזג אוויר,/categories/%D7%9E%D7%96%D7%92-%D7%90%D7%95%D7%95%D7%99%D7%A8.1763/,164200.0,1600000.0,9.7442143727162,medium activity
חתונות,/forums/%D7%97%D7%AA%D7%95%D7%A0%D7%95%D7%AA.1767/,100000.0,1100000.0,11.0,medium activity
ימי הולדת ומתנות,/forums/%D7%99%D7%9E%D7%99-%D7%94%D7%95%D7%9C%D7%93%D7%AA-%D7%95%D7%9E%D7%AA%D7%A0%D7%95%D7%AA.1768/,34000.0,218900.0,6.438235294117647,little activity
רק אהבה,/forums/%D7%A8%D7%A7-%D7%90%D7%94%D7%91%D7%94.2680/,85.0,123.0,1.4470588235294117,little activity
צופי אש ומתנדבים,/forums/%D7%A6%D7%95%D7%A4%D7%99-%D7%90%D7%A9-%D7%95%D7%9E%D7%AA%D7%A0%D7%93%D7%91%D7%99%D7%9D.6/,136.0,233.0,1.713235294117647,little activity
זוגיות,/categories/%D7%96%D7%95%D7%92%D7%99%D7%95%D7%AA.7/,79700.0,934600.0,11.726474278544542,medium activity
הכרויות,/categories/%D7%94%D7%9B%D7%A8%D7%95%D7%99%D7%95%D7%AA.14/,87800.0,1200000.0,13.66742596810934,medium activity
יוגה,/forums/%D7%99%D7%95%D7%92%D7%94.111/,5300.0,12700.0,2.3962264150943398,little activity
זן והעיר הגדולה,/forums/%D7%96%D7%9F-%D7%95%D7%94%D7%A2%D7%99%D7%A8-%D7%94%D7%92%D7%93%D7%95%D7%9C%D7%94.112/,1000.0,3800.0,3.8,little activity
שיחות עם אלוהים,/forums/%D7%A9%D7%99%D7%97%D7%95%D7%AA-%D7%A2%D7%9D-%D7%90%D7%9C%D7%95%D7%94%D7%99%D7%9D.113/,2300.0,12600.0,5.478260869565218,little activity
ארבע ההסכמות,/forums/%D7%90%D7%A8%D7%91%D7%A2-%D7%94%D7%94%D7%A1%D7%9B%D7%9E%D7%95%D7%AA.114/,1500.0,9900.0,6.6,little activity
שלמות פנימית,/forums/%D7%A9%D7%9C%D7%9E%D7%95%D7%AA-%D7%A4%D7%A0%D7%99%D7%9E%D7%99%D7%AA.115/,2700.0,16900.0,6.2592592592592595,little activity
ביקורת המקרא,/forums/%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA-%D7%94%D7%9E%D7%A7%D7%A8%D7%90.116/,229.0,1100.0,4.8034934497816595,little activity
רייקי לצעירים,/forums/%D7%A8%D7%99%D7%99%D7%A7%D7%99-%D7%9C%D7%A6%D7%A2%D7%99%D7%A8%D7%99%D7%9D.117/,627.0,2800.0,4.4657097288676235,little activity
העצמה אישית,/forums/%D7%94%D7%A2%D7%A6%D7%9E%D7%94-%D7%90%D7%99%D7%A9%D7%99%D7%AA.118/,474.0,7700.0,16.244725738396625,medium activity
השנה שלי -תוכנית לשינוי,/forums/%D7%94%D7%A9%D7%A0%D7%94-%D7%A9%D7%9C%D7%99-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%AA-%D7%9C%D7%A9%D7%99%D7%A0%D7%95%D7%99.119/,3200.0,30000.0,9.375,medium activity
אבחון וייעוץ,/categories/%D7%90%D7%91%D7%97%D7%95%D7%9F-%D7%95%D7%99%D7%99%D7%A2%D7%95%D7%A5.120/,123700.0,675900.0,5.464025869037995,little activity
רוחניות והעידן החדש,/categories/%D7%A8%D7%95%D7%97%D7%A0%D7%99%D7%95%D7%AA-%D7%95%D7%94%D7%A2%D7%99%D7%93%D7%9F-%D7%94%D7%97%D7%93%D7%A9.140/,88700.0,758400.0,8.550169109357384,little activity
העצמה אישית,/categories/%D7%94%D7%A2%D7%A6%D7%9E%D7%94-%D7%90%D7%99%D7%A9%D7%99%D7%AA.162/,36300.0,340600.0,9.382920110192838,medium activity
תזונה,/categories/%D7%AA%D7%96%D7%95%D7%A0%D7%94.171/,120700.0,1100000.0,9.113504556752279,medium activity
תמיכה,/categories/%D7%AA%D7%9E%D7%99%D7%9B%D7%94.181/,93600.0,538500.0,5.753205128205129,little activity
מומחים,/categories/%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D.203/,55500.0,283200.0,5.102702702702703,little activity
"המרכז הרפואי ת""א – רפואה כללית",/categories/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%AA-%D7%90-%E2%80%93-%D7%A8%D7%A4%D7%95%D7%90%D7%94-%D7%9B%D7%9C%D7%9C%D7%99%D7%AA.222/,85100.0,181800.0,2.136310223266745,little activity
"המרכז הרפואי ת""א – רפואת ילדים",/categories/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%AA-%D7%90-%E2%80%93-%D7%A8%D7%A4%D7%95%D7%90%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D.257/,22400.0,49300.0,2.200892857142857,little activity
"המרכז הרפואי ת""א – רפואת נשים",/categories/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%AA-%D7%90-%E2%80%93-%D7%A8%D7%A4%D7%95%D7%90%D7%AA-%D7%A0%D7%A9%D7%99%D7%9D.266/,40800.0,88700.0,2.174019607843137,little activity
מקצועות הרפואה י-ם,/forums/%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%95%D7%AA-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%94-%D7%99-%D7%9D.274/,3100.0,13200.0,4.258064516129032,little activity
למידה מרחוק,/forums/%D7%9C%D7%9E%D7%99%D7%93%D7%94-%D7%9E%D7%A8%D7%97%D7%95%D7%A7.275/,303.0,789.0,2.603960396039604,little activity
אתרים בית ספריים,/forums/%D7%90%D7%AA%D7%A8%D7%99%D7%9D-%D7%91%D7%99%D7%AA-%D7%A1%D7%A4%D7%A8%D7%99%D7%99%D7%9D.276/,881.0,5900.0,6.696935300794552,little activity
מדעי המדינה-סטודנטים,/forums/%D7%9E%D7%93%D7%A2%D7%99-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%A1%D7%98%D7%95%D7%93%D7%A0%D7%98%D7%99%D7%9D.277/,2000.0,5600.0,2.8,little activity
מפתחים צעירים,/forums/%D7%9E%D7%A4%D7%AA%D7%97%D7%99%D7%9D-%D7%A6%D7%A2%D7%99%D7%A8%D7%99%D7%9D.278/,121.0,360.0,2.975206611570248,little activity
עירוני ג חיפה,/forums/%D7%A2%D7%99%D7%A8%D7%95%D7%A0%D7%99-%D7%92-%D7%97%D7%99%D7%A4%D7%94.279/,3200.0,14600.0,4.5625,little activity
המכללה האקדמית למשפטים,/forums/%D7%94%D7%9E%D7%9B%D7%9C%D7%9C%D7%94-%D7%94%D7%90%D7%A7%D7%93%D7%9E%D7%99%D7%AA-%D7%9C%D7%9E%D7%A9%D7%A4%D7%98%D7%99%D7%9D.280/,2900.0,8200.0,2.8275862068965516,little activity
סלולארי חברתי,/forums/%D7%A1%D7%9C%D7%95%D7%9C%D7%90%D7%A8%D7%99-%D7%97%D7%91%D7%A8%D7%AA%D7%99.281/,217.0,2400.0,11.059907834101383,medium activity
בר אילן - לימודי מידע,/forums/%D7%91%D7%A8-%D7%90%D7%99%D7%9C%D7%9F-%D7%9C%D7%99%D7%9E%D7%95%D7%93%D7%99-%D7%9E%D7%99%D7%93%D7%A2.282/,2600.0,8700.0,3.3461538461538463,little activity
מחוננים,/forums/%D7%9E%D7%97%D7%95%D7%A0%D7%A0%D7%99%D7%9D.283/,1400.0,10400.0,7.428571428571429,little activity
מסלול אקדמי מכללה למנהל,/forums/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C-%D7%90%D7%A7%D7%93%D7%9E%D7%99-%D7%9E%D7%9B%D7%9C%D7%9C%D7%94-%D7%9C%D7%9E%D7%A0%D7%94%D7%9C.284/,53.0,369.0,6.962264150943396,little activity
זכויות הורים ותלמידים,/forums/%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%94%D7%95%D7%A8%D7%99%D7%9D-%D7%95%D7%AA%D7%9C%D7%9E%D7%99%D7%93%D7%99%D7%9D.285/,902.0,2900.0,3.2150776053215075,little activity
הסגל האקדמי הזוטר באת`א,/forums/%D7%94%D7%A1%D7%92%D7%9C-%D7%94%D7%90%D7%A7%D7%93%D7%9E%D7%99-%D7%94%D7%96%D7%95%D7%98%D7%A8-%D7%91%D7%90%D7%AA-%D7%90.286/,80.0,158.0,1.975,little activity
פרויקט לגדול בצבע,/forums/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-%D7%9C%D7%92%D7%93%D7%95%D7%9C-%D7%91%D7%A6%D7%91%D7%A2.287/,107.0,325.0,3.0373831775700935,little activity
שפות עתיקות,/forums/%D7%A9%D7%A4%D7%95%D7%AA-%D7%A2%D7%AA%D7%99%D7%A7%D7%95%D7%AA.288/,385.0,2500.0,6.4935064935064934,little activity
הנדסאים,/forums/%D7%94%D7%A0%D7%93%D7%A1%D7%90%D7%99%D7%9D.289/,392.0,1200.0,3.061224489795918,little activity
תורה שבעל פה,/forums/%D7%AA%D7%95%D7%A8%D7%94-%D7%A9%D7%91%D7%A2%D7%9C-%D7%A4%D7%94.290/,820.0,4300.0,5.2439024390243905,little activity
חינוך,/categories/%D7%97%D7%99%D7%A0%D7%95%D7%9A.291/,58200.0,302100.0,5.190721649484536,little activity
מדע,/categories/%D7%9E%D7%93%D7%A2.297/,13800.0,130800.0,9.478260869565217,medium activity
יעוץ וסיוע,/categories/%D7%99%D7%A2%D7%95%D7%A5-%D7%95%D7%A1%D7%99%D7%95%D7%A2.302/,46700.0,457600.0,9.798715203426124,medium activity
השכלה גבוהה ומוסדות לימוד,/categories/%D7%94%D7%A9%D7%9B%D7%9C%D7%94-%D7%92%D7%91%D7%95%D7%94%D7%94-%D7%95%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA-%D7%9C%D7%99%D7%9E%D7%95%D7%93.306/,165800.0,1200000.0,7.237635705669481,little activity
מקצועות לימוד,/categories/%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%95%D7%AA-%D7%9C%D7%99%D7%9E%D7%95%D7%93.323/,117900.0,873300.0,7.407124681933842,little activity
אמנות,/categories/%D7%90%D7%9E%D7%A0%D7%95%D7%AA.342/,262300.0,2000000.0,7.624857033930613,little activity
תרבויות ושפות,/categories/%D7%AA%D7%A8%D7%91%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%A9%D7%A4%D7%95%D7%AA.360/,162900.0,1300000.0,7.980356046654389,little activity
ריקודים,/categories/%D7%A8%D7%99%D7%A7%D7%95%D7%93%D7%99%D7%9D.392/,28000.0,261500.0,9.339285714285714,medium activity
ספרות ושירה,/categories/%D7%A1%D7%A4%D7%A8%D7%95%D7%AA-%D7%95%D7%A9%D7%99%D7%A8%D7%94.396/,158600.0,1300000.0,8.19672131147541,little activity
מינהל עסקים והבראתם,/forums/%D7%9E%D7%99%D7%A0%D7%94%D7%9C-%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%95%D7%94%D7%91%D7%A8%D7%90%D7%AA%D7%9D.411/,545.0,1300.0,2.385321100917431,little activity
כלכלה וחברה,/forums/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94-%D7%95%D7%97%D7%91%D7%A8%D7%94.412/,765.0,6700.0,8.758169934640524,little activity
יחסי ציבור,/forums/%D7%99%D7%97%D7%A1%D7%99-%D7%A6%D7%99%D7%91%D7%95%D7%A8.413/,4800.0,16500.0,3.4375,little activity
מנהלות בהיי-טק,/forums/%D7%9E%D7%A0%D7%94%D7%9C%D7%95%D7%AA-%D7%91%D7%94%D7%99%D7%99-%D7%98%D7%A7.414/,312.0,371.0,1.189102564102564,little activity
משאבי אנוש והדרכה,/forums/%D7%9E%D7%A9%D7%90%D7%91%D7%99-%D7%90%D7%A0%D7%95%D7%A9-%D7%95%D7%94%D7%93%D7%A8%D7%9B%D7%94.415/,1700.0,4300.0,2.5294117647058822,little activity
יחסים בעבודה,/forums/%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%95%D7%93%D7%94.416/,1600.0,5900.0,3.6875,little activity
מתוסכלים בעבודה,/forums/%D7%9E%D7%AA%D7%95%D7%A1%D7%9B%D7%9C%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%95%D7%93%D7%94.417/,29.0,53.0,1.8275862068965518,little activity
