Header,Link,Summary,DateTime,Year,Month,Day,Hour,estimated_reading_time_seconds,reading_time_segment
,,,2025-01-06 15:15:52.742795,2025,1,6,15,,
,,,2025-01-06 15:15:52.742852,2025,1,6,15,,
,,,2025-01-06 15:15:52.742911,2025,1,6,15,,
,,,2025-01-06 15:15:52.742979,2025,1,6,15,,
,,,2025-01-06 15:15:52.743037,2025,1,6,15,,
,,,2025-01-06 15:15:52.743105,2025,1,6,15,,
,,,2025-01-06 15:15:52.743173,2025,1,6,15,,
,,,2025-01-06 15:15:52.743229,2025,1,6,15,,
,,,2025-01-06 15:15:52.743286,2025,1,6,15,,
,,,2025-01-06 15:15:52.743379,2025,1,6,15,,
,,,2025-01-06 15:15:52.743477,2025,1,6,15,,
,,,2025-01-06 15:15:52.743570,2025,1,6,15,,
,,,2025-01-06 15:15:52.743663,2025,1,6,15,,
,,,2025-01-06 15:15:52.743740,2025,1,6,15,,
,,,2025-01-06 15:15:52.743816,2025,1,6,15,,
,,,2025-01-06 15:15:52.743891,2025,1,6,15,,
,,,2025-01-06 15:15:52.743977,2025,1,6,15,,
,,,2025-01-06 15:15:52.744052,2025,1,6,15,,
,,,2025-01-06 15:15:52.744127,2025,1,6,15,,
,,,2025-01-06 15:15:52.744228,2025,1,6,15,,
,,,2025-01-06 15:15:52.744317,2025,1,6,15,,
,,,2025-01-06 15:15:52.744339,2025,1,6,15,,
,,,2025-01-06 15:15:52.744423,2025,1,6,15,,
,,,2025-01-06 15:15:52.744521,2025,1,6,15,,
,,,2025-01-06 15:15:52.744624,2025,1,6,15,,
,,,2025-01-06 15:15:52.744684,2025,1,6,15,,
,,,2025-01-06 15:15:52.744744,2025,1,6,15,,
,,,2025-01-06 15:15:52.744802,2025,1,6,15,,
,,,2025-01-06 15:15:52.744859,2025,1,6,15,,
,,,2025-01-06 15:15:52.744917,2025,1,6,15,,
,,,2025-01-06 15:15:52.744986,2025,1,6,15,,
,,,2025-01-06 15:15:52.745056,2025,1,6,15,,
,,,2025-01-06 15:15:52.745114,2025,1,6,15,,
,,,2025-01-06 15:15:52.745179,2025,1,6,15,,
,,,2025-01-06 15:15:52.745249,2025,1,6,15,,
,,,2025-01-06 15:15:52.745318,2025,1,6,15,,
,,,2025-01-06 15:15:52.745387,2025,1,6,15,,
,,,2025-01-06 15:15:52.745432,2025,1,6,15,,
,,,2025-01-06 15:15:52.745486,2025,1,6,15,,
,,,2025-01-06 15:15:52.745532,2025,1,6,15,,
,,,2025-01-06 15:15:52.745578,2025,1,6,15,,
,,,2025-01-06 15:15:52.745624,2025,1,6,15,,
,,,2025-01-06 15:15:52.745671,2025,1,6,15,,
,,,2025-01-06 15:15:52.745717,2025,1,6,15,,
,,,2025-01-06 15:15:52.745794,2025,1,6,15,,
,,,2025-01-06 15:15:52.745840,2025,1,6,15,,
,,,2025-01-06 15:15:52.745886,2025,1,6,15,,
,,,2025-01-06 15:15:52.745932,2025,1,6,15,,
,,,2025-01-06 15:15:52.745977,2025,1,6,15,,
,,,2025-01-06 15:15:52.746025,2025,1,6,15,,
,,,2025-01-06 15:15:52.746072,2025,1,6,15,,
,,,2025-01-06 15:15:52.746117,2025,1,6,15,,
,,,2025-01-06 15:15:52.746162,2025,1,6,15,,
,,,2025-01-06 15:15:52.746208,2025,1,6,15,,
,,,2025-01-06 15:15:52.746253,2025,1,6,15,,
,,,2025-01-06 15:15:52.746299,2025,1,6,15,,
,,,2025-01-06 15:15:52.746345,2025,1,6,15,,
,,,2025-01-06 15:15:52.746390,2025,1,6,15,,
,,,2025-01-06 15:15:52.746436,2025,1,6,15,,
,,,2025-01-06 15:15:52.746490,2025,1,6,15,,
,,,2025-01-06 15:15:52.746538,2025,1,6,15,,
,,,2025-01-06 15:15:52.746584,2025,1,6,15,,
,,,2025-01-06 15:15:52.746630,2025,1,6,15,,
,,,2025-01-06 15:15:52.746675,2025,1,6,15,,
,,,2025-01-06 15:15:52.746721,2025,1,6,15,,
,,,2025-01-06 15:15:52.746766,2025,1,6,15,,
,,,2025-01-06 15:15:52.746812,2025,1,6,15,,
,,,2025-01-06 15:15:52.746856,2025,1,6,15,,
,,,2025-01-06 15:15:52.746901,2025,1,6,15,,
,,,2025-01-06 15:15:52.746965,2025,1,6,15,,
,,,2025-01-06 15:15:52.747079,2025,1,6,15,,
,,,2025-01-06 15:15:52.747169,2025,1,6,15,,
,,,2025-01-06 15:15:52.747219,2025,1,6,15,,
,,,2025-01-06 15:15:52.747266,2025,1,6,15,,
,,,2025-01-06 15:15:52.747312,2025,1,6,15,,
,,,2025-01-06 15:15:52.747359,2025,1,6,15,,
,,,2025-01-06 15:15:52.747405,2025,1,6,15,,
,,,2025-01-06 15:15:52.747458,2025,1,6,15,,
,,,2025-01-06 15:15:52.747505,2025,1,6,15,,
,,,2025-01-06 15:15:52.747551,2025,1,6,15,,
,,,2025-01-06 15:15:52.747599,2025,1,6,15,,
,,,2025-01-06 15:15:52.747700,2025,1,6,15,,
,,,2025-01-06 15:15:52.747801,2025,1,6,15,,
,,,2025-01-06 15:15:52.747902,2025,1,6,15,,
,,,2025-01-06 15:15:52.748004,2025,1,6,15,,
,,,2025-01-06 15:15:52.748105,2025,1,6,15,,
,,,2025-01-06 15:15:52.748207,2025,1,6,15,,
,,"מגישת הטלוויזיה תקפה את גדות באינסטגרם על כך שלא ענדה את סיכת החטופים בטקס גלובוס הזהב. ""תתביישי לך, הצביעות חוגגת!"", כתבה. מטעמה של גדות נמסר: ""גל לא יכלה לענוד סיכת החטופים כי היא הגישה פרס ויש כללים""",2025-01-06 15:15:52.748310,2025,1,6,15,9.0,Medium
,,,2025-01-06 15:15:52.748411,2025,1,6,15,,
,,,2025-01-06 15:15:52.748509,2025,1,6,15,,
,,,2025-01-06 15:15:52.748609,2025,1,6,15,,
,,,2025-01-06 15:15:52.748709,2025,1,6,15,,
,,,2025-01-06 15:15:52.748768,2025,1,6,15,,
,,,2025-01-06 15:15:52.748826,2025,1,6,15,,
,,,2025-01-06 15:15:52.748897,2025,1,6,15,,
,,,2025-01-06 15:15:52.748918,2025,1,6,15,,
,,,2025-01-06 15:15:52.748938,2025,1,6,15,,
,,,2025-01-06 15:15:52.748958,2025,1,6,15,,
,,,2025-01-06 15:15:52.749028,2025,1,6,15,,
,,,2025-01-06 15:15:52.749099,2025,1,6,15,,
,,,2025-01-06 15:15:52.749170,2025,1,6,15,,
,,,2025-01-06 15:15:52.749228,2025,1,6,15,,
,,,2025-01-06 15:15:52.749296,2025,1,6,15,,
,,,2025-01-06 15:15:52.749355,2025,1,6,15,,
,,,2025-01-06 15:15:52.749414,2025,1,6,15,,
,,,2025-01-06 15:15:52.749480,2025,1,6,15,,
,,,2025-01-06 15:15:52.749539,2025,1,6,15,,
,,,2025-01-06 15:15:52.749598,2025,1,6,15,,
,,,2025-01-06 15:15:52.749656,2025,1,6,15,,
,,,2025-01-06 15:15:52.749721,2025,1,6,15,,
,,,2025-01-06 15:15:52.749778,2025,1,6,15,,
,,,2025-01-06 15:15:52.749836,2025,1,6,15,,
,,,2025-01-06 15:15:52.749894,2025,1,6,15,,
,,,2025-01-06 15:15:52.749952,2025,1,6,15,,
,,"מירי דותן מנציחה את בעלה הקומיקאי בהרצאות המלוות בסרט על חייו. בריאיון היא מספרת על ילדותו הקשה ועל מותו הטראגי, אבל גם על האיש המצחיק והחם שהיה ועל המשפחה המיוחדת שלהם: מיכל, בתו מנישואיו הראשונים, בנם יוני, שהחלים מסרטן, ובתם נילי, שמגדלת יחד עם בת זוגה שתי בנות (את בתה של נילי מהורות משותפת ואת בתה המאומצת של אורנה בנאי)",2025-01-06 15:15:52.750043,2025,1,6,15,14.0,Very Long
,,"שנה חדשה היא הזדמנות להתחיל לחולל שינוי בהרגלי התזונה: 10 משפטים שכדאי להפסיק לומר לעצמנו, ו־10 משפטים שמומלץ לאמץ במקומם",2025-01-06 15:15:52.750134,2025,1,6,15,5.0,Short
,,"בתבשיל הודי עם קוקוס וקארי, בחטיפים פריכים ואפילו בהמבורגר - הכרובית במיטבה בתקופת החורף,  ותמיד שמחה להתעטף בתבלינים ותוספות",2025-01-06 15:15:52.750224,2025,1,6,15,5.0,Short
,,,2025-01-06 15:15:52.750245,2025,1,6,15,,
,,,2025-01-06 15:15:52.750264,2025,1,6,15,,
,,,2025-01-06 15:15:52.750283,2025,1,6,15,,
,,,2025-01-06 15:15:52.750301,2025,1,6,15,,
,,,2025-01-06 15:15:52.750320,2025,1,6,15,,
,,,2025-01-06 15:15:52.750391,2025,1,6,15,,
,,,2025-01-06 15:15:52.750458,2025,1,6,15,,
,,,2025-01-06 15:15:52.750531,2025,1,6,15,,
,,,2025-01-06 15:15:52.750601,2025,1,6,15,,
,,,2025-01-06 15:15:52.750659,2025,1,6,15,,
,,,2025-01-06 15:15:52.750731,2025,1,6,15,,
,,,2025-01-06 15:15:52.750803,2025,1,6,15,,
,,,2025-01-06 15:15:52.750876,2025,1,6,15,,
,,,2025-01-06 15:15:52.750897,2025,1,6,15,,
,,,2025-01-06 15:15:52.750916,2025,1,6,15,,
,,,2025-01-06 15:15:52.750935,2025,1,6,15,,
,,,2025-01-06 15:15:52.751019,2025,1,6,15,,
,,,2025-01-06 15:15:52.751077,2025,1,6,15,,
,,,2025-01-06 15:15:52.751135,2025,1,6,15,,
,,,2025-01-06 15:15:52.751217,2025,1,6,15,,
,,,2025-01-06 15:15:52.751276,2025,1,6,15,,
,,,2025-01-06 15:15:52.751333,2025,1,6,15,,
,,,2025-01-06 15:15:52.751421,2025,1,6,15,,
,,,2025-01-06 15:15:52.751488,2025,1,6,15,,
,,,2025-01-06 15:15:52.751547,2025,1,6,15,,
,,,2025-01-06 15:15:52.751630,2025,1,6,15,,
,,,2025-01-06 15:15:52.751687,2025,1,6,15,,
,,,2025-01-06 15:15:52.751745,2025,1,6,15,,
,,,2025-01-06 15:15:52.751829,2025,1,6,15,,
,,,2025-01-06 15:15:52.751887,2025,1,6,15,,
,,,2025-01-06 15:15:52.751944,2025,1,6,15,,
,,,2025-01-06 15:15:52.752049,2025,1,6,15,,
,,,2025-01-06 15:15:52.752106,2025,1,6,15,,
,,,2025-01-06 15:15:52.752175,2025,1,6,15,,
,,,2025-01-06 15:15:52.752276,2025,1,6,15,,
,,,2025-01-06 15:15:52.752337,2025,1,6,15,,
,,,2025-01-06 15:15:52.752397,2025,1,6,15,,
,,,2025-01-06 15:15:52.752490,2025,1,6,15,,
,,,2025-01-06 15:15:52.752551,2025,1,6,15,,
,,,2025-01-06 15:15:52.752610,2025,1,6,15,,
,,,2025-01-06 15:15:52.752694,2025,1,6,15,,
,,,2025-01-06 15:15:52.752753,2025,1,6,15,,
,,,2025-01-06 15:15:52.752829,2025,1,6,15,,
,,,2025-01-06 15:15:52.752880,2025,1,6,15,,
,,,2025-01-06 15:15:52.752958,2025,1,6,15,,
,,,2025-01-06 15:15:52.753017,2025,1,6,15,,
,,,2025-01-06 15:15:52.753076,2025,1,6,15,,
,,,2025-01-06 15:15:52.753135,2025,1,6,15,,
,,,2025-01-06 15:15:52.753204,2025,1,6,15,,
,,,2025-01-06 15:15:52.753265,2025,1,6,15,,
,,,2025-01-06 15:15:52.753316,2025,1,6,15,,
